2025-11-19T02:53:00.758Z | IP: 191.91.80.179 | Status: 200 | Time: 850ms | Data: {"num_faces":1,"faces":[{"bbox":[176,444,422,198],"label":"undefined","score":0.9997417330741882}],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":1,"processing_times":{"total":0.734,"faces":0.133,"jerseys":0.012,"time_ocr":0.684}}
2025-11-19T02:53:00.852Z | IP: 172.225.173.129 | Status: 200 | Time: 932ms | Data: {"num_faces":0,"faces":[],"jerseys":[{"team":"Colombia","bbox":[111,177,240,301],"confidence":0.5245}],"colombia_count":1,"match_time":null,"image_processed":true,"total_detections":1,"processing_times":{"total":0.734,"faces":0.122,"jerseys":0.012,"time_ocr":0.647}}
2025-11-19T02:53:02.044Z | IP: 191.95.51.210 | Status: 200 | Time: 1639ms | Data: {"num_faces":1,"faces":[{"bbox":[183,291,224,250],"label":"undefined","score":0.9999974966049194}],"jerseys":[],"colombia_count":0,"match_time":"59:23","image_processed":true,"total_detections":1,"processing_times":{"total":0.897,"faces":0.129,"jerseys":0.021,"time_ocr":0.841}}
2025-11-19T02:53:02.873Z | IP: 191.91.80.179 | Status: 200 | Time: 1067ms | Data: {"num_faces":1,"faces":[{"bbox":[174,448,419,203],"label":"undefined","score":0.9998910427093506}],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":1,"processing_times":{"total":0.949,"faces":0.178,"jerseys":0.092,"time_ocr":0.877}}
2025-11-19T02:53:03.085Z | IP: 191.95.51.210 | Status: 200 | Time: 1243ms | Data: {"num_faces":1,"faces":[{"bbox":[342,335,381,296],"label":"undefined","score":0.875933825969696}],"jerseys":[{"team":"Colombia","bbox":[350,180,480,493],"confidence":1.0}],"colombia_count":1,"match_time":"59:25","image_processed":true,"total_detections":2,"processing_times":{"total":1.091,"faces":0.219,"jerseys":0.021,"time_ocr":0.971}}
2025-11-19T02:53:03.304Z | IP: 172.225.173.129 | Status: 200 | Time: 1168ms | Data: {"num_faces":0,"faces":[],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":0,"processing_times":{"total":0.907,"faces":0.175,"jerseys":0.012,"time_ocr":0.779}}
2025-11-19T02:53:04.964Z | IP: 191.91.80.179 | Status: 200 | Time: 1155ms | Data: {"num_faces":1,"faces":[{"bbox":[176,405,368,213],"label":"undefined","score":0.9999769926071167}],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":1,"processing_times":{"total":0.998,"faces":0.206,"jerseys":0.118,"time_ocr":0.947}}
2025-11-19T02:53:05.145Z | IP: 172.225.173.129 | Status: 200 | Time: 1213ms | Data: {"num_faces":0,"faces":[],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":0,"processing_times":{"total":0.91,"faces":0.153,"jerseys":0.018,"time_ocr":0.82}}
2025-11-19T02:53:05.725Z | IP: 191.95.51.210 | Status: 200 | Time: 1620ms | Data: {"num_faces":0,"faces":[],"jerseys":[],"colombia_count":0,"match_time":"59:27","image_processed":true,"total_detections":0,"processing_times":{"total":1.282,"faces":0.218,"jerseys":0.139,"time_ocr":1.136}}
2025-11-19T02:53:07.050Z | IP: 191.91.80.179 | Status: 200 | Time: 1142ms | Data: {"num_faces":1,"faces":[{"bbox":[156,461,318,299],"label":"undefined","score":0.9997515082359314}],"jerseys":[],"colombia_count":0,"match_time":null,"image_processed":true,"total_detections":1,"processing_times":{"total":0.959,"faces":0.223,"jerseys":0.107,"time_ocr":0.858}}
